sentence,Predicted,Expected,Result
"yblyal is more than 2003 ,but less than 96906","Value is_within(2003,9606)","Value is_within(2003,96906)",Fail
vjkcht can be left blank,Value equals to null,VALUE equals to null,Fail
yxzivg is empty,Value equals to null,VALUE equals to null,Fail
yhkdih is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
gwdnaj is required to be empty,Value equals to null,VALUE equals to null,Fail
cfedip is not null.,Value not_equals to null,VALUE not_equals to null,Fail
kitidm is empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
"mgbsoi is greater than 4931,but less than 98737","Value is_within(4931,98737)","Value is_within(4931,98737)",Pass
kdkrxb could be less than 3816 and more than 41575,"Value is_within(3816,41575)","Value is_within(3816,41575)",Pass
dxlywc should have a expired indicator,Value equals to null,VALUE not_equals to null,Fail
krumex should not have a expired indicator,Value not_equals to null,VALUE equals to null,Fail
vavjms is empty,Value equals to null,VALUE equals to null,Fail
paqxlh cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
pfcxzo could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
iuuuya could not be null,Value equals to null,VALUE not_equals to null,Fail
mzamet could be null,Value equals to null,VALUE equals to null,Fail
zfwmnt could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
"jjzvhz is comprised between 170, excluded, and 47240","Value is_within(170, 47240)","Value is_within(170,47240)",Fail
vjkcht is empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
glbibd must be empty,Value equals to null,VALUE equals to null,Fail
wbnbnk can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
bcmseo should have a lithology description.,lithology description.,VALUE not_equals to null,Fail
ntvtxo can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
mgfsur could be less than 5146 and more than 96358,"Value is_within(5146,9638)","Value is_within(5146,96358)",Fail
wwmsnt could not be null,Value equals to null,VALUE not_equals to null,Fail
nbesnw cannot have any characters.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
gffaoa would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
ecsend must be blank,Value equals to null,VALUE equals to null,Fail
wjyybf is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
rnauzs could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
cttfla should not have a expired indicator,Value not_equals to null,VALUE equals to null,Fail
qlylbu would be null,Value equals to null,VALUE equals to null,Fail
wmcdxr must be an empty string.,VALUE is equal to NUMBER,VALUE equals to null,Fail
frrtlg canbe null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
gbsptf can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
uumbro can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
ltkfdy is blank,Value equals to null,VALUE equals to null,Fail
mihtwi cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
"mepcsc exceeds 204,but does not exceeds 357","Value is_within(204,357)","Value is_within(204,357)",Pass
izqfls should contain something,Value not_equals to null,VALUE not_equals to null,Fail
stsyfm shall be found somewhere between 6281 and 33499,"Value is_within(6281,3499)","Value is_within(6281,33499)",Fail
zgmrem number should not be null.,VALUE is not_equal to NULL,VALUE not_equals to null,Fail
edhreb can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
simnvt is empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
uvxzwf can be in range 3070 to 55627,Value is_within(3070-55627),"Value is_within(3070,55627)",Fail
Lets say zdypxi have null values,Value equals to null,VALUE equals to null,Fail
jsbyca is equal to the value of date,Value equals to null,VALUE is equal to DATE,Fail
hkccvb would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
bcgrfy can be equal to null,Value equals to null,VALUE equals to null,Fail
qlylbu is empty.,Value equals to null,VALUE equals to null,Fail
fzquej could be null.,Value equals to null,VALUE equals to null,Fail
grrbpo would be empty,Value equals to null,VALUE equals to null,Fail
fgqlsr canbe empty,Value equals to null,VALUE equals to null,Fail
plfize is with in 391 to 92307,"Value is_within(391,9230)","Value is_within(391,92307)",Fail
krumex is null.,Value equals to null,VALUE equals to null,Fail
wmsbtw cannot be null,Value not_equals to null,VALUE equals to null,Fail
lwckbe could not be null,Value equals to null,VALUE not_equals to null,Fail
fdpdox could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
rnatbk can't be a empty,Value not_equals to null,VALUE not_equals to null,Fail
yafjjc is of value date,Value equals to null,VALUE is equal to DATE,Fail
xcbrzn cannot have any characters.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
nszato is required to be not null,Value equals to null,VALUE not_equals to null,Fail
tdcxan can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
exdrrk is more than 92 and also exdrrk should not exceed 44828,"Value is_within(92,4828)","Value is_within(92,44828)",Fail
qmggfy number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
atmlwb should contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
nqsbcj is not null,Value not_equals null,VALUE not_equals to null,Fail
lsrdgg is strictly greater than 420 and strictly lower than 16681,"Value is_within(420,16681)","Value is_within(420,16681)",Pass
rpszsy cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
grkrim is required to be empty,Value equals to null,VALUE equals to null,Fail
wjzkoa is null,Value equals to null,VALUE equals to null,Fail
xfhlin can be a null,Value equals to null,VALUE equals to null,Fail
cegjec is not null.,Value not_equals to null,VALUE not_equals to null,Fail
qirwnn is required to be null,Value equals to null,VALUE equals to null,Fail
"tfwhti IS LONGER THAN six thousand, five hundred and fifty-two AND ALSO tfwhti IS SMALL THAN seventy-nine thousand, seven hundred and fifty-two","Value is_within(6 000,5 hundred and fifty-two)","Value is_within(6552,79752)",Fail
gwsgxi could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
mmljrs must be blank,Value equals to null,VALUE equals to null,Fail
rmbzss would be null,Value equals to null,VALUE equals to null,Fail
chchaq can be left blank,Value equals to null,VALUE equals to null,Fail
jwsemu can be equal to blank,Value equals to null,VALUE equals to null,Fail
giyfoi must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
"jpkatl IS LONGER THAN seven thousand, three hundred and fifty-two AND ALSO jpkatl IS SMALL THAN seventy-seven thousand, five hundred and seventy-three","jpkatl IS LONGER THAN seven thousand, three hundred and fifty-two AND ALSO jpkatl IS SMALLER THAN seventy-seven thousand, five hundred and seventy-three","Value is_within(7352,77573)",Fail
ntvtxo is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
itpgqd should not have a expired indicator,Value not_equals to null,VALUE equals to null,Fail
vnpkga could not be null,Value not_equals to null,VALUE not_equals to null,Fail
emzfsa can be a empty,Value equals to null,VALUE equals to null,Fail
"pqoafo is more than 4226 ,but less than 4565","Value is_within(4226,4565)","Value is_within(4226,4565)",Pass
pcyeys can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
hqyusu can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
itnowo is not blank,Value not_equals to null,VALUE not_equals to null,Fail
jwaeqj cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
wcgpmx field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
ylogir is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
"cmlakn is greater than 942,but less than 90235","Value is_within(942,90235)","Value is_within(942,90235)",Pass
dyszjk should contain something,Value not_equals to null,VALUE not_equals to null,Fail
zjpqlv is with in 5302 to 41197,Value is_within(5302 to 41197),"Value is_within(5302,41197)",Fail
ixmehr is not blank,Value not_equals to null,VALUE not_equals to null,Fail
ecsend depth must be null,Value equals to null,VALUE equals to null,Fail
giyfoi can't be a empty,Value not_equals to null,VALUE not_equals to null,Fail
cfvjvp can be equal to null,Value equals to null,VALUE equals to null,Fail
gegtft must have a non-null loan number,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
fvnkdr may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
gwdnaj could be null.,Value equals to null,VALUE equals to null,Fail
gffaoa would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
ojvgno isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
jcxily may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
hmysnf could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
dfzudk is a null,Value equals to null,VALUE equals to null,Fail
oapnqm is not null.,Value not_equals to null,VALUE not_equals to null,Fail
loassa can not be equal to null,Value equals to null,VALUE not_equals to null,Fail
uwcvdw is always NULL,Value equals to null,VALUE equals to null,Fail
eqmjuv can be equal to blank,Value equals to null,VALUE equals to null,Fail
vvtcts should have a lithology description.,VALUE is equal to DATE,VALUE not_equals to null,Fail
ziluzb should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
vavjms should not contain something,Value not_equals to null,VALUE equals to null,Fail
"hvraha must be greater than 9724 ,but less than 37376","Value is_within(9724,3776)","Value is_within(9724,37376)",Fail
uisrfm could be less than 2268 and more than 70805,"Value is_within(2268,70805)","Value is_within(2268,70805)",Pass
gwdnaj field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
ijqwty could be blank,Value equals to null,VALUE equals to null,Fail
yraqos cannot be null,Value equals to null,VALUE not_equals to null,Fail
vuxjcg number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
"bzfywb should not be greater than 99328 ,but less than 7492","Value is_within(7492,99328)","Value is_within(7492,99328)",Pass
iqcoab represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
giyfoi can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
uflxlt shall be found somewhere between 3586 and 46427,Value is_within(3586-46427),"Value is_within(3586,46427)",Fail
ymqqvy represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
essuxz is not blank,Value not_equals to null,VALUE not_equals to null,Fail
cfedip cannot have any characters.,VALUE is not_equal to DATE,VALUE not_equals to null,Fail
lgfnct must not be populated,Value not_equals to null,VALUE equals to null,Fail
vzsiyx must have a null loan number,Value equals to null,VALUE equals to null,Fail
tubrig is blank,Value equals to null,VALUE equals to null,Fail
fwriyk is null.,Value equals to null,VALUE equals to null,Fail
Lets say isweno cannot have null values,Value equals to null,VALUE not_equals to null,Fail
wcrewy must not be populated,Value not_equals to null,VALUE equals to null,Fail
"msnwpd is more than 6687 ,but less than 82737","Value is_within(6687,82737)","Value is_within(6687,82737)",Pass
hkccvb could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
hyoein can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
sqhlbu could be less than 1584 and more than 5772,"Value is_within(1584,5772)","Value is_within(1584,5772)",Pass
mtbrjq can be in range 6286 to 85116,"Value is_within(6286,85116)","Value is_within(6286,85116)",Pass
lagbzg must be populated,Value equals to null,VALUE not_equals to null,Fail
zaccez can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
nbesnw mustn't be null,Value equals to null,VALUE not_equals to null,Fail
frrtlg should not have a expired indicator,Value not_equals to null,VALUE equals to null,Fail
vjxyhh can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
jgwkbv could not be empty,Value not_equals to null,VALUE not_equals to null,Fail
upieyx would be empty,Value equals to null,VALUE equals to null,Fail
aubusd would be empty,Value equals to null,VALUE equals to null,Fail
omxvbk mustn't be null,Value equals to null,VALUE not_equals to null,Fail
cfkqno cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
fsbxol should contain the value of date,Value equals to null,VALUE is equal to DATE,Fail
ehgyai can not have any characters.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
dkkxcm is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
hssrcb cannot be null,Value not_equals to null,VALUE not_equals to null,Fail
sunwvm number should not be null.,VALUE is not_equal to NULL,VALUE not_equals to null,Fail
ifxvnx is blank,Value equals to null,VALUE equals to null,Fail
giyfoi can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
uwyjvd should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
hvzyas shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
xcbrzn should have a lithology description.,xcbrzn should have a lithology description.,VALUE not_equals to null,Fail
izqfls can't be a empty,Value not_equals to null,VALUE not_equals to null,Fail
vgxrfb would not be null,Value equals to null,VALUE not_equals to null,Fail
ipbzny field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
rcdpig should contain something,Value not_equals to null,VALUE not_equals to null,Fail
madwmj equals a number under 1210 and over 90905,Value is_within(1210 and 90905),"Value is_within(1210,90905)",Fail
fkrnay represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
pxenmo must not be populated,Value not_equals to null,VALUE equals to null,Fail
ixofmu should be blank,Value equals to null,VALUE equals to null,Fail
oopulf must be in between 9866 to 93454,"Value is_within(9366,9354)","Value is_within(9866,93454)",Fail
frisrl is more than 5786 and also frisrl should not exceed 26469,"Value is_within(5786,26469)","Value is_within(5786,26469)",Pass
rqsbjq might be in between 1793 to 57827,"Value is_within(1793,5787)","Value is_within(1793,57827)",Fail
bajvec is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
ujmcfp should be blank,Value equals to null,VALUE equals to null,Fail
pfcxzo would not be null,Value equals to null,VALUE not_equals to null,Fail
uqxnhe is expected to be empty,Value equals to null,VALUE equals to null,Fail
orqijl describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
fmnzzm mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
ibrzch could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
tlswyk may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
"pzslro is more than 7102 ,but less than 57443","Value is_within(7102,5743)","Value is_within(7102,57443)",Fail
"qperfo is greater than 8080,but less than 30121","Value is_within(8080,3011)","Value is_within(8080,30121)",Fail
pcyeys could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
npaoqd could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
qoxavd could not be null,Value equals to null,VALUE not_equals to null,Fail
wwlehm has not some values.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
cirbha is strictly greater than 8992 and strictly lower than 83637,"Value is_within(8992,8337)","Value is_within(8992,83637)",Fail
ylogir cannot have any characters.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
"rjotpb is greater than 8816,but less than 58609","Value is_within(8816,5669)","Value is_within(8816,58609)",Fail
nbesnw can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
qtnrvl can be a empty,Value equals to null,VALUE equals to null,Fail
dbhcud must have a non-null loan number,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
syfzto is null,Value equals to null,VALUE equals to null,Fail
qjqdta must have a null loan number,Value equals to null,VALUE equals to null,Fail
vuxjcg isn't empty.,Value not_equals to null,VALUE not_equals to null,Fail
Lets say ouryod cannot have null values,Value not_equals to null,VALUE not_equals to null,Fail
mxbkka may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
"gaazyz is greater than 8733,but less than 93256","Value is_within(8733,93256)","Value is_within(8733,93256)",Pass
wdkrrt should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
bfgtdm must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
wcuiyy should not be null,Value not_equals null,VALUE not_equals to null,Fail
namlei could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
loassa would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
hmysnf is not empty,Value not_equals to null,VALUE not_equals to null,Fail
kztndo must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
cgptsy is not a null,Value not_equals to null,VALUE not_equals to null,Fail
npaoqd is not blank,Value not_equals to null,VALUE not_equals to null,Fail
pbdden has not some values.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
foyeug canbe empty,Value equals to null,VALUE equals to null,Fail
tugghd is always NULL,Value equals to null,VALUE equals to null,Fail
qmggfy is not a null,Value not_equals to null,VALUE not_equals to null,Fail
yraqos can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
nqsbcj would not be null,Value equals to null,VALUE not_equals to null,Fail
ylimmo equals a number under 1111 and over 77217,"Value is_within(1111,7217)","Value is_within(1111,77217)",Fail
nejqts must be populated,Value equals to null,VALUE not_equals to null,Fail
fpiogn can be a null,Value equals to null,VALUE equals to null,Fail
ncpkmm is of value date,Value equals to null,VALUE is equal to DATE,Fail
udxpky number should be null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
cawmak is not blank,Value not_equals to null,VALUE not_equals to null,Fail
zvluvb can not have any characters.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
lzjsmp shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
vjkcht must be an empty string.,VALUE is equal to NUMBER,VALUE equals to null,Fail
"mgfsur could be greater than 5146 ,but less than 96358","Value is_within(5146,9638)","Value is_within(5146,96358)",Fail
nqsbcj should contain something,Value not_equals to null,VALUE not_equals to null,Fail
qjqdta can be equal to blank,Value equals to null,VALUE equals to null,Fail
aaxpwu cannot be empty.,VALUE is not_equal to NULL,VALUE not_equals to null,Fail
poujmk can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
ybytjp should have a expired indicator,Value equals to null,VALUE not_equals to null,Fail
jonjcp must be populated,Value equals to null,VALUE not_equals to null,Fail
rqozzk has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
yblyal is more than 2003 and also yblyal should not exceed 96906,"Value is_within(2003,9606)","Value is_within(2003,96906)",Fail
dmmfkg number should not be null.,Value not_equals to null,VALUE not_equals to null,Fail
jonjcp can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
nbesnw is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
dyzxmf can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
letixy shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
kiirhm is equal to the value of date,Value equals to null,VALUE is equal to DATE,Fail
xqdgoy can be equal to null,Value equals to null,VALUE equals to null,Fail
tcvpjy can be a empty,Value equals to null,VALUE equals to null,Fail
ojvgno should have a lithology description.,VALUE is equal to DATE,VALUE not_equals to null,Fail
tyxrel could be less than 9434 and more than 82553,"Value is_within(9434,8255)","Value is_within(9434,82553)",Fail
orqijl can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
tuorph canbe null.,Value equals to null,VALUE equals to null,Fail
tlswyk shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
npaoqd would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
cllyfz field cannot be blank or empty,Value not_equals to null,VALUE not_equals to null,Fail
cfvjvp must be blank,Value equals to null,VALUE equals to null,Fail
ucgxmd consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
zfwmnt can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
Lets say dtcfxh have null values,Value equals to null,VALUE equals to null,Fail
cpxzti is required to be null,Value equals to null,VALUE equals to null,Fail
fcfzju depth must not be null,Value equals to null,VALUE not_equals to null,Fail
uihpvq is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
nuevvz mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
nkykvc should not have a expired indicator,Value not_equals to null,VALUE equals to null,Fail
Lets say jujhfu have null values,Value equals to null,VALUE equals to null,Fail
lrcdvz has not some values.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
vvtcts must not be blank,Value not_equals to null,VALUE not_equals to null,Fail
"wtthqk must be greater than 1106 ,but less than 23449","Value is_within(1106,2349)","Value is_within(1106,23449)",Fail
hdkwux should contain something,Value not_equals to null,VALUE not_equals to null,Fail
mmljrs canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
hmysnf is not a null,Value not_equals to null,VALUE not_equals to null,Fail
fmigwx could be blank,Value equals to null,VALUE equals to null,Fail
fgqlsr is empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
tdcxan mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
gojhhs should contain the value of date,Value equals to null,VALUE is equal to DATE,Fail
vnpkga could not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
bftlgn should not have a expired indicator,Value not_equals to null,VALUE equals to null,Fail
ncbvdo cannot be null,Value not_equals to null,VALUE equals to null,Fail
lnluoo consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
rmbzss canbe empty,Value equals to null,VALUE equals to null,Fail
iyloci has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
vjxyhh should contain the value of date,Value equals to null,VALUE is equal to DATE,Fail
dmlmnr is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
cecujz number should be null.,VALUE is equal to NULL,VALUE equals to null,Fail
aibnvi is expected to be not null,Value equals to null,VALUE not_equals to null,Fail
lgfnct would be blank,Value equals to null,VALUE equals to null,Fail
ouryod cannot have any characters.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
wpsebn could be equal to blank,Value equals to null,VALUE equals to null,Fail
kztndo is expected to be not null,Value not_equals null,VALUE not_equals to null,Fail
ixofmu is empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
hyoein describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
zvluvb cannot be null,Value not_equals to null,VALUE equals to null,Fail
gbsptf is not null.,Value not_equals to null,VALUE not_equals to null,Fail
jwfcga is required to be empty,Value equals to null,VALUE equals to null,Fail
zeqrvl should be null,Value equals to null,VALUE equals to null,Fail
boiuxh is equal to the value of date,Value equals to null,VALUE is equal to DATE,Fail
mbyzrk cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
nizuef could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
nfdxty is always NULL,Value equals to null,VALUE equals to null,Fail
Lets say shvgti cannot have null values,Value not_equals to null,VALUE not_equals to null,Fail
"mgfsur should not be greater than 96358 ,but less than 5146","Value is_within(5146,9638)","Value is_within(5146,96358)",Fail
hlundq must be populated,Value equals to null,VALUE not_equals to null,Fail
ohbcrx consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ygeirj is not a null,Value not_equals to null,VALUE not_equals to null,Fail
aypgxf should be blank,Value equals to null,VALUE equals to null,Fail
amdhdt can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
wgqpuz should be blank,Value equals to null,VALUE equals to null,Fail
ozobao mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
wqgcsq is null,Value equals to null,VALUE equals to null,Fail
loassa should contain something,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
wpsebn must have a null loan number,Value equals to null,VALUE equals to null,Fail
vvtcts should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
kumhus should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
orqijl is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
ifxvnx canbe empty,Value equals to null,VALUE equals to null,Fail
hdkwux must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
"ziiedp IS LONGER THAN five thousand, two hundred and thirty-five AND ALSO ziiedp IS SMALL THAN twenty-four thousand, three hundred and sixty-one","Value is_within(five thousand, two hundred and thirty5)","Value is_within(5235,24361)",Fail
qivpgv is blank,Value equals to null,VALUE equals to null,Fail
zjgdsr is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
tcvpjy should be empty,Value equals to null,VALUE equals to null,Fail
frisrl is with in 5786 to 26469,Value is_within(5786 to 26469),"Value is_within(5786,26469)",Fail
cuwpmm can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
ozobao cannot have any characters.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
pqqqhe should not have a expired indicator,not_duplicate,VALUE equals to null,Fail
remxly is not empty,Value not_equals to null,VALUE not_equals to null,Fail
zlskai is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ecsend must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
sirtsl is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
cfkqno cannot be blank,Value not_equals to null,VALUE not_equals to null,Fail
jhkcuj isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
"ycxutq is greater than 6273,but less than 19670","Value is_within(6273,6770)","Value is_within(6273,19670)",Fail
dmmfkg is not blank,Value not_equals to null,VALUE not_equals to null,Fail
eqmjuv is required to be empty,Value equals to null,VALUE equals to null,Fail
wdkrrt is not null.,Value not_equals to null,VALUE not_equals to null,Fail
hctkzk cannot be empty.,Value not_equals to null,VALUE not_equals to null,Fail
"jlncha must be greater than 4909 ,but less than 18546","Value is_within(4909,18546)","Value is_within(4909,18546)",Pass
nqsbcj must not be empty,Value not_equals null,VALUE not_equals to null,Fail
jtfwvy cannot be null,Value not_equals to null,VALUE not_equals to null,Fail
kbbfod may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
qmggfy can't be a empty,Value not_equals to null,VALUE not_equals to null,Fail
ijafwf must be empty,Value equals to null,VALUE equals to null,Fail
lcnjhc is required to be empty,Value equals to null,VALUE equals to null,Fail
bvsdph has not some values.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
ucgxmd represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
itnowo is required to be not null,Value not_equals to null,VALUE not_equals to null,Fail
hqyusu is not a null,Value not_equals to null,VALUE not_equals to null,Fail
epmgpk is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
"cbhrny is comprised between 4110, excluded, and 62823","Value is_within(4110,6283)","Value is_within(4110,62823)",Fail
cusbzf should be empty,Value equals to null,VALUE equals to null,Fail
syfzto is always NULL,Value equals to null,VALUE equals to null,Fail
hctkzk is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
wgqpuz canbe blank,Value equals to null,VALUE equals to null,Fail
uwcvdw canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
wahmwc can be equal to blank,Value equals to null,VALUE equals to null,Fail
kumhus cannot be empty.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
emzfsa is blank,Value equals to null,VALUE equals to null,Fail
tuorph is expected to be empty,Value equals to null,VALUE equals to null,Fail
cmlakn could be less than 942 and more than 90235,"Value is_within(942,90235)","Value is_within(942,90235)",Pass
cuwpmm must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
vdlvdp is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
vjnsvc must be populated,Value equals to null,VALUE not_equals to null,Fail
"tmmuon must be greater than 621,but less than  59742","Value is_within(611,599742)","Value is_within(621,59742)",Fail
wcgpmx can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
fmigwx should not have a expired indicator,Value not_equals to null,VALUE equals to null,Fail
cawmak is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
cxodwl must be in between 4903 to 10853,Value is_within(4903 to 10853),"Value is_within(4903,10853)",Fail
aeijoq can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
pqqqhe is null.,value not_equals to null,VALUE equals to null,Fail
egcppc can be equal to blank,Value equals to null,VALUE equals to null,Fail
jtfwvy should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
xrfotv must have a non-null loan number,Value not_equals to null,VALUE not_equals to null,Fail
zgmrem cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
cuwpmm mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
udxpky is required to be null,Value equals to null,VALUE equals to null,Fail
mzwylq canbe null.,Value equals to null,VALUE equals to null,Fail
hctkzk is required to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
aibnvi cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
cspogb canbe null.,VALUE is equal to NUMBER,VALUE equals to null,Fail
